Approved symbol	Gene group name	Gene group ID	Ensembl ID(supplied by Ensembl)
SNX24	Sorting nexins	754	ENSG00000064652
EYA2	EYA transcriptional coactivator and phosphatases|MicroRNA protein coding host genes	1044|1691	ENSG00000064655
CNN2			ENSG00000064666
ABCA7	ATP binding cassette subfamily A	805	ENSG00000064687
SNCAIP	Ankyrin repeat domain containing	403	ENSG00000064692
DDX20	DEAD-box helicases|Gemins	499|1131	ENSG00000064703
BTBD1	BTB domain containing	861	ENSG00000064726
FAR2	Short chain dehydrogenase/reductase superfamily	743	ENSG00000064763
BCAS1	MicroRNA protein coding host genes	1691	ENSG00000064787
POU1F1	POU class homeoboxes and pseudogenes	523	ENSG00000064835
CHI3L2	Chitinases	816	ENSG00000064886
SBNO2			ENSG00000064932
PMS1	MutL homologs	1027	ENSG00000064933
HMG20B	Non-canonical high mobility group	512	ENSG00000064961
CALCRL	Calcitonin receptors	265	ENSG00000064989
TAF11	General transcription factor IID complex subunits 	1878	ENSG00000064995
ANKS1A	Sterile alpha motif domain containing|Ankyrin repeat domain containing	760|403	ENSG00000064999
AP3D1	Adaptor related protein complex 3|Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing	1673|1493	ENSG00000065000
ZNF76	Zinc fingers C2H2-type	28	ENSG00000065029
SLC9A3R2	PDZ domain containing	1220	ENSG00000065054
NTHL1	DNA glycosylases	1024	ENSG00000065057
UHRF1BP1			ENSG00000065060
GNAI3	G protein subunits alpha, group i	1428	ENSG00000065135
IPO5	TOG domain containing|Importins	1495|596	ENSG00000065150
OAT			ENSG00000065154
WDR3	WD repeat domain containing|UTPb subcomplex	362|1225	ENSG00000065183
PKN2	C2 domain containing protein kinases|Small nucleolar RNA protein coding host genes|AGC family kinases	835|1835|1625	ENSG00000065243
WDR18	5FMC ribosome biogenesis complex|WD repeat domain containing	1301|362	ENSG00000065268
TRAM2	TLC domain containing	1374	ENSG00000065308
NTN1	Netrins	661	ENSG00000065320
GLP2R	Glucagon receptor family	269	ENSG00000065325
MCM10			ENSG00000065328
DGKA	Diacylglycerol kinases|EF-hand domain containing	1178|863	ENSG00000065357
ERBB3	Erb-b2 receptor tyrosine kinases	1096	ENSG00000065361
ROPN1			ENSG00000065371
ANKRD44	Ankyrin repeat domain containing|Protein phosphatase 6 regulatory subunits	403|699	ENSG00000065413
KARS1	Aminoacyl tRNA synthetases, Class II	132	ENSG00000065427
ADAT1	Adenosine deaminases acting on RNA	1303	ENSG00000065457
PDIA5	Protein disulfide isomerases|MicroRNA protein coding host genes	692|1691	ENSG00000065485
TBC1D22B			ENSG00000065491
NDUFB4	NADH:ubiquinone oxidoreductase supernumerary subunits	1150	ENSG00000065518
SPEN	RNA binding motif containing	725	ENSG00000065526
MYLK	Fibronectin type III domain containing|Myosin light chain kinase family|I-set domain containing	555|1668|593	ENSG00000065534
ZC3H15	Zinc fingers CCCH-type	73	ENSG00000065548
MAP2K4	Mitogen-activated protein kinase kinases|MicroRNA protein coding host genes	653|1691	ENSG00000065559
PACC1			ENSG00000065600
SNAP91			ENSG00000065609
SLK			ENSG00000065613
CYB5R4			ENSG00000065615
COL17A1	Collagens|MicroRNA protein coding host genes	490|1691	ENSG00000065618
GSTO2	Soluble glutathione S-transferases	567	ENSG00000065621
SEC61A2			ENSG00000065665
PRKCQ	C2 domain containing protein kinases|AGC family kinases	835|1625	ENSG00000065675
TLE2	WD repeat domain containing|Wnt enhanceosome complex|TLE family	362|1677|1680	ENSG00000065717
ASB1	Ankyrin repeat domain containing	403	ENSG00000065802
FAM107B			ENSG00000065809
ME1			ENSG00000065833
TBC1D1			ENSG00000065882
CDK13	Cyclin dependent kinases	496	ENSG00000065883
MTHFD2			ENSG00000065911
SLC9A7	Solute carriers	752	ENSG00000065923
FOXJ2	Forkhead boxes	508	ENSG00000065970
YBX1	U11/U12 di-snRNP|Y-box binding proteins	1521|106	ENSG00000065978
PDE4A	Phosphodiesterases	681	ENSG00000065989
PPP2R5A	Small nucleolar RNA protein coding host genes|Protein phosphatase 2 regulatory subunits|Armadillo like helical domain containing	1835|696|1492	ENSG00000066027
CTNNA2	Alpha catenins	1543	ENSG00000066032
ELAVL1	RNA binding motif containing	725	ENSG00000066044
TIE1	Fibronectin type III domain containing|Immunoglobulin like domain containing|Receptor tyrosine kinases	555|594|321	ENSG00000066056
DIP2B			ENSG00000066084
SMARCD1	PBAF complex|BAF complex|GBAF complex	1605|1604|1606	ENSG00000066117
KDM4A	Tudor domain containing|Lysine demethylases	780|485	ENSG00000066135
NFYC	MicroRNA protein coding host genes	1691	ENSG00000066136
ZMYND12	Zinc fingers MYND-type	87	ENSG00000066185
SLC9A3	Solute carriers	752	ENSG00000066230
NGEF	Dbl family Rho GEFs	722	ENSG00000066248
ASPM			ENSG00000066279
CD84	CD molecules|Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	471|594|1410	ENSG00000066294
ELOVL1	MicroRNA protein coding host genes	1691	ENSG00000066322
SPI1	ETS transcription factor family	534	ENSG00000066336
POLR1H	RNA polymerase subunits	726	ENSG00000066379
MPPED2			ENSG00000066382
CLDN18	Claudins	488	ENSG00000066405
ZBTB11	Zinc fingers C2H2-type|BTB domain containing	28|861	ENSG00000066422
ATXN3	Ataxins|MJD deubiquinating enzymes	411|997	ENSG00000066427
GOLGA5	Golgins	1084	ENSG00000066455
FGFR2	I-set domain containing|Receptor tyrosine kinases|CD molecules	593|321|471	ENSG00000066468
LRRC40			ENSG00000066557
ISOC1	MicroRNA protein coding host genes	1691	ENSG00000066583
EML1	WD repeat domain containing|EMAP like	362|1679	ENSG00000066629
TRMT11	tRNA methyltransferases	1580	ENSG00000066651
THUMPD1			ENSG00000066654
MSANTD3	Myb/SANT domain containing	532	ENSG00000066697
KIF26A	Kinesins	622	ENSG00000066735
ATG2B	Autophagy related	1022	ENSG00000066739
ARFGEF1	Armadillo like helical domain containing|ARFGEF family	1492|1947	ENSG00000066777
ACSM2B	Acyl-CoA synthetase family	40	ENSG00000066813
ZFAT	Zinc fingers C2H2-type	28	ENSG00000066827
MTFR1			ENSG00000066855
STAG3	Cohesin complex|Armadillo like helical domain containing	1060|1492	ENSG00000066923
FECH			ENSG00000066926
MYO9A	Myosins, class IX	1103	ENSG00000066933
DDX3Y	DEAD-box helicases|Minor histocompatibility antigens	499|870	ENSG00000067048
PFKP			ENSG00000067057
IDI1			ENSG00000067064
SP100	Bromodomain containing|PHD finger proteins	1232|88	ENSG00000067066
KLF6	Kruppel like factors|Zinc fingers C2H2-type	624|28	ENSG00000067082
PLPP1	Phospholipid phosphatases|MicroRNA protein coding host genes	1067|1691	ENSG00000067113
NEO1	I-set domain containing|Fibronectin type III domain containing|Ig-like cell adhesion molecule family	593|555|1410	ENSG00000067141
TRAM1	TLC domain containing	1374	ENSG00000067167
PHKA1			ENSG00000067177
TNFRSF1A	Tumor necrosis factor receptor superfamily|CD molecules	782|471	ENSG00000067182
CACNB1	Membrane associated guanylate kinases|Calcium voltage-gated channel auxiliary beta subunits	904|1515	ENSG00000067191
EVI5			ENSG00000067208
STOML1	Stomatin family	1734	ENSG00000067221
PKM			ENSG00000067225
DHX29	DEAH-box helicases	500	ENSG00000067248
DNTTIP2			ENSG00000067334
METTL22	Methyltransferase like	963	ENSG00000067365
TP53BP1	Tudor domain containing	780	ENSG00000067369
TRO	MAGE family|Small nucleolar RNA protein coding host genes	1136|1835	ENSG00000067445
RRP15			ENSG00000067533
RHOA	Rho family GTPases	390	ENSG00000067560
DHX8	Spliceosomal P complex|Spliceosomal C complex|DEAH-box helicases	1516|1510|500	ENSG00000067596
PMS2P4			ENSG00000067601
PRKCZ	AGC family kinases	1625	ENSG00000067606
ZFY	Zinc fingers C2H2-type	28	ENSG00000067646
IARS2	Aminoacyl tRNA synthetases, Class I	131	ENSG00000067704
SYT1	MicroRNA protein coding host genes|Synaptotagmins	1691|765	ENSG00000067715
NAV3			ENSG00000067798
IDH3G	Isocitrate dehydrogenases	1926	ENSG00000067829
ROGDI			ENSG00000067836
PDZD4	PDZ domain containing	1220	ENSG00000067840
ATP2B3	ATPases Ca2+ transporting|Cilia and flagella associated	1209|1491	ENSG00000067842
ROCK1	Pleckstrin homology domain containing|AGC family kinases	682|1625	ENSG00000067900
CBFB			ENSG00000067955
PDK3			ENSG00000067992
HYAL2	Hyaluronidases	1448	ENSG00000068001
HDAC4	MicroRNA protein coding host genes|Histone deacetylases, class IIA	1691|992	ENSG00000068024
RASSF1	Ras association domain family	1198	ENSG00000068028
FGFR3	CD molecules|I-set domain containing|Receptor tyrosine kinases	471|593|321	ENSG00000068078
IFI35			ENSG00000068079
HEATR6	Armadillo like helical domain containing|MicroRNA protein coding host genes	1492|1691	ENSG00000068097
COASY			ENSG00000068120
PLEKHH3	FERM domain containing|Pleckstrin homology domain containing	1293|682	ENSG00000068137
MEF2A	MADS box family|Myocyte enhancer factor 2 proteins	1086|649	ENSG00000068305
OTUD5	OTU domain containing	669	ENSG00000068308
TFE3	Basic helix-loop-helix proteins	420	ENSG00000068323
TBC1D25			ENSG00000068354
ACSL4	Acyl-CoA synthetase family	40	ENSG00000068366
INPP5A	Phosphoinositide phosphatases	1079	ENSG00000068383
GPKOW	G-patch domain containing|Spliceosomal C complex|Spliceosomal Bact complex|Spliceosomal P complex|NTC associated proteins	579|1510|1508|1516|1498	ENSG00000068394
GRIPAP1			ENSG00000068400
FTSJ1	Seven-beta-strand methyltransferase motif containing	1400	ENSG00000068438
PRR11			ENSG00000068489
REEP1	Receptor accessory proteins	717	ENSG00000068615
ATP11A	ATPase phospholipid transporting	1210	ENSG00000068650
POLR1A	RNA polymerase subunits	726	ENSG00000068654
LAPTM4A			ENSG00000068697
TTC7A	Tetratricopeptide repeat domain containing|PI4KA lipid kinase complex	769|1588	ENSG00000068724
IP6K2			ENSG00000068745
STON1-GTF2A1L			ENSG00000068781
SRBD1			ENSG00000068784
KIF2A	Kinesins	622	ENSG00000068796
RASGRP2	EF-hand domain containing	863	ENSG00000068831
PSME4	Armadillo like helical domain containing|Proteasome	1492|690	ENSG00000068878
IFT80	WD repeat domain containing|IFT-B2 complex	362|1981	ENSG00000068885
SIRT2	Sirtuins	938	ENSG00000068903
ERLEC1	MRH domain containing 	1233	ENSG00000068912
PPP2R5B	Armadillo like helical domain containing|Protein phosphatase 2 regulatory subunits	1492|696	ENSG00000068971
PYGM	Glycogen phosphorylases	437	ENSG00000068976
PAGE1	PAGE family	1846	ENSG00000068985
PITX1	PRD class homeoboxes and pseudogenes	521	ENSG00000069011
TRPC7	Transient receptor potential cation channels	249	ENSG00000069018
MAST4	AGC family kinases|PDZ domain containing	1625|1220	ENSG00000069020
ADGRF5	I-set domain containing|Immunoglobulin like domain containing|Adhesion G protein-coupled receptors, subfamily F	593|594|916	ENSG00000069122
SDK2	I-set domain containing|Fibronectin type III domain containing	593|555	ENSG00000069188
ADAM7	ADAM metallopeptidase domain containing	47	ENSG00000069206
NUP133	Minor histocompatibility antigens|Nucleoporins	870|1051	ENSG00000069248
NUCKS1			ENSG00000069275
VPS35	Armadillo like helical domain containing	1492	ENSG00000069329
DNAJA2	DNAJ (HSP40) heat shock proteins	584	ENSG00000069345
BCL3	Ankyrin repeat domain containing|MicroRNA protein coding host genes	403|1691	ENSG00000069399
KCNAB2	Potassium voltage-gated channel regulatory subunits|Aldo-keto reductases	858|399	ENSG00000069424
ABCC9	ATP binding cassette subfamily C	807	ENSG00000069431
GAL	Neuropeptides	1902	ENSG00000069482
CLEC2D	C-type lectin domain containing	1298	ENSG00000069493
FUNDC1			ENSG00000069509
MAOB			ENSG00000069535
RORA	Nuclear hormone receptors	71	ENSG00000069667
DRD4	Dopamine receptors	181	ENSG00000069696
TGFBR3	Proteoglycans	570	ENSG00000069702
KIAA1107			
PLA2G10	Phospholipases	467	ENSG00000069764
HES2	Basic helix-loop-helix proteins	420	ENSG00000069812
ATP1B3	ATPase Na+/K+ transporting subunits|CD molecules	1208|471	ENSG00000069849
NEDD4	HECT domain containing	1959	ENSG00000069869
PIGB	Phosphatidylinositol glycan anchor biosynthesis|Dolichyl D-mannosyl phosphate dependent mannosyltransferases	680|430	ENSG00000069943
MAPK6	Mitogen-activated protein kinases	651	ENSG00000069956
GNB5	G protein subunits beta|WD repeat domain containing	1430|362	ENSG00000069966
RAB27A	RAB, member RAS oncogene GTPases	388	ENSG00000069974
HDHD5	Haloacid dehalogenase like hydrolase domain containing	1377	ENSG00000069998
UFD1			ENSG00000070010
LRP6	Low density lipoprotein receptors	634	ENSG00000070018
GUCY2C	Guanylate cyclase receptors	343	ENSG00000070019
SCT	Neuropeptides	1902	ENSG00000070031
PHRF1	Protein phosphatase 1 regulatory subunits|Ring finger proteins|PHD finger proteins	694|58|88	ENSG00000070047
ELP1	Elongator acetyltransferase complex 	539	ENSG00000070061
NUCB2	EF-hand domain containing	863	ENSG00000070081
PFN2	Profilins	1827	ENSG00000070087
PTPN3	Protein tyrosine phosphatases non-receptor type|MicroRNA protein coding host genes|PDZ domain containing|FERM domain containing	812|1691|1220|1293	ENSG00000070159
SPTB	Spectrins|MicroRNA protein coding host genes|Pleckstrin homology domain containing	1113|1691|682	ENSG00000070182
DAPP1	Pleckstrin homology domain containing|SH2 domain containing	682|741	ENSG00000070190
FGF10	Receptor ligands|Fibroblast growth factor family	542|1895	ENSG00000070193
SLC44A1	CD molecules|Solute carriers	471|752	ENSG00000070214
TMEM260			ENSG00000070269
SMG6	Endoribonucleases	1687	ENSG00000070366
EXOC5	Exocyst complex	1055	ENSG00000070367
CLTCL1	Clathrin subunits	1647	ENSG00000070371
FGF22	Fibroblast growth factor family	1895	ENSG00000070388
FSTL3			ENSG00000070404
DGCR2	C-type lectin domain containing	1298	ENSG00000070413
RNF126	Ring finger proteins	58	ENSG00000070423
MNT	Basic helix-loop-helix proteins|MAX dimerization proteins	420|637	ENSG00000070444
ZXDC	Zinc fingers C2H2-type	28	ENSG00000070476
JMJD6	Iron (II) and 2-oxoglutarate dependent oxygenases	1368	ENSG00000070495
POLB	DNA polymerases	535	ENSG00000070501
ST6GALNAC1	Sialyltransferases	438	ENSG00000070526
WIPI1	Autophagy related|WIPI family|WD repeat domain containing	1022|1568|362	ENSG00000070540
FRMPD1	PDZ domain containing|FERM domain containing	1220|1293	ENSG00000070601
GBA2	Glycoside hydrolases	1650	ENSG00000070610
NDST1	Sulfotransferases, membrane bound	763	ENSG00000070614
ASNS			ENSG00000070669
AP3M2	Adaptor related protein complex 3	1673	ENSG00000070718
CNGB1	Cyclic nucleotide gated channels	250	ENSG00000070729
ST6GALNAC2	Sialyltransferases	438	ENSG00000070731
CHAT			ENSG00000070748
PABPC1	RNA binding motif containing|MicroRNA protein coding host genes	725|1691	ENSG00000070756
TESK2	LIMK/TESK kinase family	1617	ENSG00000070759
CFAP20	Cilia and flagella associated	1491	ENSG00000070761
CSNK2A2			ENSG00000070770
PTPN21	Protein tyrosine phosphatases non-receptor type|FERM domain containing	812|1293	ENSG00000070778
EIF2B3			ENSG00000070785
CAMK2A	Calmodulin dependent protein kinases	1630	ENSG00000070808
TCOF1			ENSG00000070814
CDC42	Rho family GTPases	390	ENSG00000070831
OSBPL3	Pleckstrin homology domain containing|Oxysterol binding proteins	682|670	ENSG00000070882
EPHA8	Sterile alpha motif domain containing|EPH receptors	760|1095	ENSG00000070886
SLC12A3	Solute carriers|MicroRNA protein coding host genes	752|1691	ENSG00000070915
RAD18	Ring finger proteins	58	ENSG00000070950
ATP2B1	ATPases Ca2+ transporting	1209	ENSG00000070961
TRPM5	Transient receptor potential cation channels	249	ENSG00000070985
NCK2	SH2 domain containing	741	ENSG00000071051
MAP4K4	Mitogen-activated protein kinase kinase kinase kinases	655	ENSG00000071054
MGAT4A	Mannosyl-glycoprotein N-acetylglucosaminyltransferases	435	ENSG00000071073
RPL31	L ribosomal proteins	729	ENSG00000071082
WDR1	MicroRNA protein coding host genes|WD repeat domain containing	1691|362	ENSG00000071127
SNX13	Sorting nexins	754	ENSG00000071189
MS4A12	Membrane spanning 4-domains	958	ENSG00000071203
ARHGAP10	MicroRNA protein coding host genes|AH/BAR family Rho GTPase activating proteins	1691|1923	ENSG00000071205
RPS6KA2	MAPK activated protein kinases|AGC family kinases|MicroRNA protein coding host genes	1156|1625|1691	ENSG00000071242
ING3	PHD finger proteins	88	ENSG00000071243
VASH1			ENSG00000071246
LMCD1	LIM domain containing	1218	ENSG00000071282
BUD23	Seven-beta-strand methyltransferase motif containing	1400	ENSG00000071462
SEL1L			ENSG00000071537
TRIP13	AAA ATPases	413	ENSG00000071539
ATP6AP1			ENSG00000071553
TCF3	Basic helix-loop-helix proteins	420	ENSG00000071564
TRIB2	MicroRNA protein coding host genes	1691	ENSG00000071575
DAZAP1	RNA binding motif containing	725	ENSG00000071626
MBD3	NuRD complex|Methyl-CpG binding domain containing	1305|1025	ENSG00000071655
PRLH	Neuropeptides	1902	ENSG00000071677
HLTF	Ring finger proteins	58	ENSG00000071794
FAM50A	MicroRNA protein coding host genes|Spliceosomal P complex|Spliceosomal C complex	1691|1516|1510	ENSG00000071859
FAM3A			ENSG00000071889
CPSF1	MicroRNA protein coding host genes	1691	ENSG00000071894
MYO3B	Myosins, class III	1099	ENSG00000071909
CYBRD1	Cytochrome b561	497	ENSG00000071967
CDH19	Type II classical cadherins	1186	ENSG00000071991
PDCD2	Zinc fingers MYND-type	87	ENSG00000071994
SLC6A15	Solute carriers	752	ENSG00000072041
RDH11	Short chain dehydrogenase/reductase superfamily	743	ENSG00000072042
PRKACA	AGC family kinases	1625	ENSG00000072062
ADGRL1	Adhesion G protein-coupled receptors, subfamily L	918	ENSG00000072071
SPP2			ENSG00000072080
ACTN1	Actinins	1112	ENSG00000072110
ZFYVE26	Zinc fingers FYVE-type	81	ENSG00000072121
RPS6KA6	MAPK activated protein kinases|AGC family kinases	1156|1625	ENSG00000072133
EPN2			ENSG00000072134
PTPN18	Protein tyrosine phosphatases non-receptor type	812	ENSG00000072135
LIMS2	LIM zinc finger domain containing	1163	ENSG00000072163
ASIC4	Acid sensing ion channel subunits	290	ENSG00000072182
SPEG	I-set domain containing|Myosin light chain kinase family	593|1668	ENSG00000072195
LNX1	Ring finger proteins|PDZ domain containing	58|1220	ENSG00000072201
ALDH3A2	Aldehyde dehydrogenases	398	ENSG00000072210
TFRC	CD molecules	471	ENSG00000072274
SREBF1	Basic helix-loop-helix proteins|MicroRNA protein coding host genes	420|1691	ENSG00000072310
TRPC5	Protein phosphatase 1 regulatory subunits|Transient receptor potential cation channels	694|249	ENSG00000072315
AFF4	Super elongation complex|AF4/FMR2 family	1280|1145	ENSG00000072364
UBE2D1	Ubiquitin conjugating enzymes E2	102	ENSG00000072401
MPP5	Membrane associated guanylate kinases|PDZ domain containing|Crumbs complex	904|1220|1223	ENSG00000072415
RHOBTB1	BTB domain containing|Rho family GTPases	861|390	ENSG00000072422
SMC1A	Structural maintenance of chromosomes proteins|MicroRNA protein coding host genes|Cohesin complex	761|1691|1060	ENSG00000072501
HSD17B10	Mitochondrial RNase P complex|Short chain dehydrogenase/reductase superfamily	1534|743	ENSG00000072506
MARK2			ENSG00000072518
HMMR	CD molecules	471	ENSG00000072571
CHFR	Ring finger proteins	58	ENSG00000072609
TRHDE	M1 metallopeptidases	1437	ENSG00000072657
P4HA2	MicroRNA protein coding host genes	1691	ENSG00000072682
FCGR2B	CD molecules|Immunoglobulin like domain containing	471|594	ENSG00000072694
NFATC3	Nuclear factors of activated T-cells |IPT domain containing	665|1752	ENSG00000072736
TRNT1			ENSG00000072756
ACADVL	Acyl-CoA dehydrogenase family	974	ENSG00000072778
STK10			ENSG00000072786
FBXW11	WD repeat domain containing|F-box and WD repeat domain containing	362|559	ENSG00000072803
ACAP1	Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing	403|395|1291	ENSG00000072818
CRMP1			ENSG00000072832
EVC			ENSG00000072840
DERL2	Rhomboid family	926	ENSG00000072849
SIDT1	MicroRNA protein coding host genes	1691	ENSG00000072858
NDE1	MicroRNA protein coding host genes	1691	ENSG00000072864
IRAG1			ENSG00000072952
TMEM38A			ENSG00000072954
AP1M1	Adaptor related protein complex 1	1671	ENSG00000072958
PVR	CD molecules|V-set domain containing|Nectins and nectin-like molecules|C2-set domain containing	471|590|1855|592	ENSG00000073008
XRCC1			ENSG00000073050
SCARB1	Scavenger receptors	1253	ENSG00000073060
CYP2W1	Cytochrome P450 family 2	1001	ENSG00000073067
MCM2	minichromosome maintenance 2-7 complex|MCM family	1998|1085	ENSG00000073111
MOV10L1	UPF1 like RNA helicases	1169	ENSG00000073146
PANX2	Pannexins	288	ENSG00000073150
SELENOO	Selenoproteins	890	ENSG00000073169
TP63	MicroRNA protein coding host genes	1691	ENSG00000073282
ALPK1			ENSG00000073331
LLGL2	Scribble complex|WD repeat domain containing	1224|362	ENSG00000073350
PDE8A	Phosphodiesterases	681	ENSG00000073417
CLCN4	Chloride voltage-gated channels	302	ENSG00000073464
NLE1	WD repeat domain containing	362	ENSG00000073536
SDHA	Mitochondrial complex II: succinate dehydrogenase subunits	641	ENSG00000073578
SMARCE1	PBAF complex|BAF complex	1605|1604	ENSG00000073584
FNDC8	Fibronectin type III domain containing	555	ENSG00000073598
GSDMB	Gasdermins	1529	ENSG00000073605
KDM5A	AT-rich interaction domain containing|PHD finger proteins|EMSY complex|Lysine demethylases	418|88|1243|485	ENSG00000073614
ADAM11	ADAM metallopeptidase domain containing	47	ENSG00000073670
PPP2R3A	Protein phosphatase 2 regulatory subunits|EF-hand domain containing	696|863	ENSG00000073711
FERMT2	FERM domain containing|Pleckstrin homology domain containing|Fermitins	1293|682|561	ENSG00000073712
ABCB11	ATP binding cassette subfamily B	806	ENSG00000073734
DHRS9	Short chain dehydrogenase/reductase superfamily	743	ENSG00000073737
CD5L	Scavenger receptor cysteine rich domain containing	1404	ENSG00000073754
PTGS2			ENSG00000073756
IGF2BP2	RNA binding motif containing|MicroRNA protein coding host genes	725|1691	ENSG00000073792
MAP3K13	Mitogen-activated protein kinase kinase kinases	654	ENSG00000073803
ST6GAL1	Sialyltransferases	438	ENSG00000073849
TBX21	T-box transcription factors	766	ENSG00000073861
VDAC1P1			ENSG00000073905
FRY	Armadillo like helical domain containing	1492	ENSG00000073910
PICALM			ENSG00000073921
NSF	AAA ATPases	413	ENSG00000073969
GLI2	Zinc fingers C2H2-type	28	ENSG00000074047
CLASP1	TOG domain containing	1495	ENSG00000074054
MRPS34	Mitochondrial ribosomal proteins|Small subunit mitochondrial ribosomal proteins	646|1996	ENSG00000074071
NOTCH3	Notch receptors|MicroRNA protein coding host genes	1689|1691	ENSG00000074181
CLNS1A			ENSG00000074201
PPP2R2C	WD repeat domain containing|Protein phosphatase 2 regulatory subunits	362|696	ENSG00000074211
TEAD2	TEA domain transcription factors	1183	ENSG00000074219
EED	WD repeat domain containing|MicroRNA protein coding host genes|Polycomb repressive complex 2	362|1691|1347	ENSG00000074266
CDHR2	Cadherin related	24	ENSG00000074276
SNCB	MicroRNA protein coding host genes	1691	ENSG00000074317
TSG101	ESCRT-I	1116	ENSG00000074319
NCBP3			ENSG00000074356
ATP2A3	ATPases Ca2+ transporting	1209	ENSG00000074370
CA12	Carbonic anhydrases	460	ENSG00000074410
MGLL	Lipases	464	ENSG00000074416
NTN4	Netrins	661	ENSG00000074527
BCS1L	AAA ATPases|Mitochondrial respiratory chain complex assembly factors	413|645	ENSG00000074582
NUAK1			ENSG00000074590
DPP8	DASH family	1205	ENSG00000074603
SLC24A1	Solute carriers	752	ENSG00000074621
ZNF532	Zinc fingers C2H2-type	28	ENSG00000074657
SCARF1	Scavenger receptors	1253	ENSG00000074660
LMAN1			ENSG00000074695
HACD3	3-hydroxyacyl-CoA dehydratase family	2025	ENSG00000074696
IPCEF1	Pleckstrin homology domain containing	682	ENSG00000074706
ZZEF1	EF-hand domain containing|Zinc fingers ZZ-type	863|91	ENSG00000074755
NOX3			ENSG00000074771
ENO1	MicroRNA protein coding host genes|Enolases	1691|1603	ENSG00000074800
SLC12A1	Solute carriers	752	ENSG00000074803
MYDGF			ENSG00000074842
ANO8	Anoctamins	865	ENSG00000074855
TUBE1	Tubulins	778	ENSG00000074935
ARHGEF10L	Dbl family Rho GEFs	722	ENSG00000074964
TXK	Tec family tyrosine kinases|SH2 domain containing	1457|741	ENSG00000074966
WSCD2			ENSG00000075035
KCNQ2	Potassium voltage-gated channels	274	ENSG00000075043
TACR2	Tachykinin receptors	258	ENSG00000075073
ACTR6	SRCAP complex|Actin related proteins	1329|1436	ENSG00000075089
TIPIN	Small nucleolar RNA protein coding host genes	1835	ENSG00000075131
SRI	EF-hand domain containing	863	ENSG00000075142
EIF4G3	MicroRNA protein coding host genes	1691	ENSG00000075151
NUP37	Nucleoporins|WD repeat domain containing	1051|362	ENSG00000075188
SEMA3A	Immunoglobulin like domain containing|Semaphorins	594|736	ENSG00000075213
GTSE1			ENSG00000075218
SEMA3C	I-set domain containing|Semaphorins	593|736	ENSG00000075223
TTC38	Tetratricopeptide repeat domain containing	769	ENSG00000075234
ACAT1			ENSG00000075239
GRAMD4	GRAM domain containing	1146	ENSG00000075240
CELSR1	Adhesion G protein-coupled receptors, subfamily C|CELSR cadherins	913|1189	ENSG00000075275
WNT8B	Wnt family	360	ENSG00000075290
ZNF638	RNA binding motif containing	725	ENSG00000075292
SLC25A40	Solute carriers	752	ENSG00000075303
TIMM21	TIM23 complex	1552	ENSG00000075336
ADD2			ENSG00000075340
FGF4	Receptor ligands|Fibroblast growth factor family	542|1895	ENSG00000075388
RASAL2	C2 and RasGAP domain containing|Pleckstrin homology domain containing	830|682	ENSG00000075391
VPS9D1	VPS9 domain containing	928	ENSG00000075399
ZNF37A	Zinc fingers C2H2-type	28	ENSG00000075407
MARK3			ENSG00000075413
SLC25A3	Solute carriers|Small nucleolar RNA protein coding host genes	752|1835	ENSG00000075415
FNDC3B	Fibronectin type III domain containing	555	ENSG00000075420
FOSL2	Basic leucine zipper proteins|Fos transcription factor family	506|1256	ENSG00000075426
CACNG5	Calcium channel auxiliary gamma subunits	1511	ENSG00000075429
CACNG4	Calcium channel auxiliary gamma subunits	1511	ENSG00000075461
FRYL	Armadillo like helical domain containing	1492	ENSG00000075539
TMEM131			ENSG00000075568
FSCN1	Fascin family	3	ENSG00000075618
ACTB	Actins|PBAF complex|BAF complex|GBAF complex	929|1605|1604|1606	ENSG00000075624
MOCOS			ENSG00000075643
PLD1	Pleckstrin homology domain containing|Phospholipases	682|467	ENSG00000075651
ATP12A	ATPase H+/K+ transporting	1211	ENSG00000075673
WDR62	WD repeat domain containing	362	ENSG00000075702
DLG1	PDZ domain containing|Scribble complex|MicroRNA protein coding host genes|Membrane associated guanylate kinases	1220|1224|1691|904	ENSG00000075711
RAB7A	RAB, member RAS oncogene GTPases	388	ENSG00000075785
BCAP29			ENSG00000075790
SEC31B	COPII coat complex|WD repeat domain containing	1960|362	ENSG00000075826
SART3	RNA binding motif containing	725	ENSG00000075856
ARHGAP15	Pleckstrin homology domain containing|Rho GTPase activating proteins	682|721	ENSG00000075884
TUBA3D	Tubulins	778	ENSG00000075886
PAX2	Paired boxes|PRD class homeoboxes and pseudogenes	675|521	ENSG00000075891
EXOSC7	Exosome complex	817	ENSG00000075914
KIFAP3	Armadillo like helical domain containing	1492	ENSG00000075945
MKRN2	Ring finger proteins	58	ENSG00000075975
MCM6	minichromosome maintenance 2-7 complex|MCM family	1998|1085	ENSG00000076003
REXO2	Exonucleases	544	ENSG00000076043
RBM7	Nuclear exosome targeting complex|RNA binding motif containing	1316|725	ENSG00000076053
RBMS2	RNA binding motif containing	725	ENSG00000076067
